reference_id	ref_gene_id	ref_gene_name	SRR2753092	SRR2753098	SRR2753106	SRR2753116
ENST00000305626.6	ENSG00000172007.7	RAB33B	8.815013	7.221037	7.414655	6.101881
ENST00000274031.8	ENSG00000145391.14	SETD7	0.738221	7.513968	8.748257	0
ENST00000404104.7	ENSG00000145391.14	SETD7	8.202859	6.647019	5.065818	0
ENST00000503502.2	ENSG00000249302.2	FTH1P24	2.801293	2.358427	4.821212	1.004594
ENST00000608402.1	ENSG00000272717.1	RP11-342I1.2	0.867052	0.303965	0.335448	0.100125
ENST00000265498.6	ENSG00000085871.9	MGST2	6.140636	18.733573	16.596086	19.788956
ENST00000230495.2	ENSG00000178458.5	H3P16	56.237537	71.095826	81.387299	49.517826
ENST00000516424.1	ENSG00000252233.1	RN7SKP253	0.295511	5.277211	2.334182	5.554332
ENST00000462840.2	ENSG00000242134.2	RPL5P13	0.073015	1.314878	0.633336	0.736442
ENST00000502948.1	ENSG00000250835.1	LSM3P4	0.33274	8.169412	0.420819	1.689768
ENST00000630044.2	ENSG00000109452.12	INPP4B	0.510472	0	0	0
ENST00000508084.1	ENSG00000109452.12	INPP4B	1.719515	0	0	0
ENST00000307017.9	ENSG00000170185.11	USP38	7.153715	9.4185	7.728262	0
ENST00000510377.5	ENSG00000170185.11	USP38	0.860843	2.180024	5.6393	0
ENST00000682469.1	ENSG00000170185.11	USP38	3.724196	2.738986	2.610516	0
ENST00000684586.1	ENSG00000170185.11	USP38	4.531119	0	0	0
ENST00000684346.1	ENSG00000170185.11	USP38	0.745626	1.769268	0.93361	2.423682
ENST00000684615.1	ENSG00000170185.11	USP38	0.969228	0.419862	0.655646	0
ENST00000682486.1	ENSG00000170185.11	USP38	0.042659	0.007818	0.143094	0
ENST00000296581.11	ENSG00000164167.12	LSM6	3.407528	6.806985	6.290052	0
ENST00000503982.1	ENSG00000164167.12	LSM6	0.184565	0.728914	0.345264	0
ENST00000625025.1	ENSG00000279845.1	RP11-6L6.4	0.702026	0	0	0.373489
ENST00000507449.1	ENSG00000164167.12	LSM6	0.085062	2.707011	0.883944	0.927274
ENST00000536295.1	ENSG00000251333.3	RTN3P1	22.878005	26.975841	30.484316	27.248257
ENST00000624774.1	ENSG00000278943.1	RP11-142A22.3	0.542847	0.217581	0	1.98869
